;tweet;label
0;warung ini dimiliki oleh pengusaha pabrik tahu yang sudah puluhan tahun terkenal membuat tahu putih di bandung tahu berkualitas dipadu keahlian memasak dipadu kretivitas jadilah warung yang menyajikan menu utama berbahan tahu ditambah menu umum lain seperti ayam semuanya selera indonesia harga cukup terjangkau jangan lewatkan tahu bletoka nya tidak kalah dengan yang asli dari tegal ;positive
1;lokasi strategis di jalan sumatera bandung tempat nya nyaman terutama sofa di lantai 2 paella nya enak sangat pas dimakan dengan minum bir dingin appetiser nya juga enak enak ;positive
2;betapa bahagia nya diri ini saat unboxing paket dan barang nya bagus menetapkan beli lagi ;positive
3;makanan beragam harga makanan di food stall akan ditambahkan 10 lagi di kasir suasana ramai dan perlu perhatian untuk mendapatkan parkir dan tempat duduk ;positive
4;tempat unik bagus buat foto makanan enak pegawai ramah bersih dan luas wifi kencang harga standar dan sesuai dengan tempat nya ada menu masakan makanan barat dan indonesia menu favorit lychee mojito dan spagheti;positive
5;saya bersama keluarga baru saja menikmati pengalaman kuliner yang menyenangkan di rm sari sunda di jalan setiabudhi bandung tapi karena tidak ada hubungan untuk rm sari sunda di jalan setiabudhi maka saya tuliskan di sini jadi maaf jika rekan rekan pembaca ada yang bingung beberapa hal yang saya suka dari restoran ini adalah bahwa pelayanan restoran ini terbilang cepat ;positive
6;bersyukur;positive
7;sekadar menceritakan pengalaman saya pesan steak grilled beef 200 tidak disajikanlah steak 200 tidak tersebut dalam 2 potongan 100 tidak 100 tidak rasanya tidak buruk namun kualitas daging nya yang membuat saya enggan memesan menu beef lagi khusus nya sirloin karena lemak nya terlalu banyak untuk ukuran steak namun masih ada menu menu lain yang sangat menempel di lidah saya sarankan untuk membeli menu berlabel cheese atau lanjutan;positive
8;sehabis puas bermain di trans studio bandung saya bersama teman sepakat untuk makan ayam kakek di sini ayam nya selalu enak dan gurih ;positive
9;rasa bakso cuanki dan batagor cukup selalu ramai pengunjung buka sekitar jam 10 pagi dari jalan riau menuju jalan a yani ada sisi kiri jalan sekitar jalan anggrek harga per porsi sekitar rp 14 000 datanglah lebih awal karena selalu ramai pengunjung;positive
10;sgwr 2018 beri dampak positif terhadap hobi anak anak;positive
11;berada di lembang pemandangan indah udara sejuk penataan resto yang bagus dilengkapi dengan makanan yang sangat nikmat pilihan menu beragam dan minuman yang lengkap lingkungan yang cocok untuk makan berdua dengan pasangan membawa keluarga ataupun bersama dengan teman lapangan parkir luas restoran yang berkonsep terbuka ini membuat udara lembang sangat terasa sejuk nya ;positive
12;berbuka puasa di sini pada minggu lepas pak supir yang mencadangkan tempat makan ini makanan nya di sini sedap dan harga berpatutan tempat nya luas dan cantik rekomendasi too others tapi dine ini here tapi rasa authentic sunda makanan indonesia ;positive
13;hahaha suka banget menonton kartun indonesia keluarga pak tomat;positive
14;bagi teman teman yang sedang berkunjung ke bandung bisa mampir ke kopi anjis untuk makan makanan yang tidak terlalu berat ada cilok rakyat ditemankan dengan teh sereh dan lekker ;positive
15;di restoran ini saya dan keluarga makan malam yang terakhir di bandung kami berjumlah 8 orang dan bila nya hanya sekitar 400 an benar benar murah meriah sampai makan double double lagi makanan nya juga enak suasana kafe menarik pelayanan sangat bagus saya masih teringat petunjuk toilet yang ada di restoran ini men tapi the pergi karena momen are selalu ribut hahahaha setimpal ;positive
16;lokasi dengan pemandangan alam yang masih natural dan indah suasana juga sejuk dan tenang hanya saja banyak nyamuk dan harga makanan relatif mahal ;positive
17;tempat steak di bandung sejak lama dari zaman setiabudi sampai sekarang buka cabang di riau tempat di riau ini lebih besar parkiran juga tidak sulit seperti di setiabudi lokasi di tempat kuliner jalan riau porsi dan harga nya pas untuk ukuran steak untuk zoom non smoking nya nyaman ;positive
18;makanan tradisional yang selalu rasanya stabil iga garang asam nya dan java steak nya jangan lupa ya dicoba hidangan penutup semua kue enak lemper soes fla gulung enak sekali tidak ada yang tidak enak kalau makanan di sini ;positive
19;sampai saat ini saya rasa batagor ini masih yang terenak di kota bandung dibandingkan dengan batagor lainnya yang saya pernah coba bumbu kacang nya pas rasanya di lidah dan batagor nya juga tidak amis bau nya silakan mencoba untuk yang belum pernah coba ;positive
20;aroma khas yang ada jika makan di atas daun pisang ya walau ramai tempat ini selalu jadi favourit saya jika ke bandung ;positive
21;akhir tahun lalu saya dan keluarga berjalan ke daerah lembang dan tidak sengaja mampir makan di resto ini suasana nya nyaman pelayanan juga ramah dan berlebihan ala kami puas makanan yang di sajikan standar seperti makanan di restoran pada umum nya tetapi yang membuat berbeda adalah sambal stroberi yang yummy dan bikin ketagihan di sana selain bisa makan kita juga bisa sambil memetik lanjutan;positive
22;pengalaman yang cukup seru makan tanpa alas piring tapi hanya dengan alas daun makin nikmat makanan sunda yang sangat bervariatif dan cukup enak tips nya jangan terbawa emosi dan kalap memesan dan memilih semua makanan yang disediakan biasanya kalap kalau sudah melihat makanan macam macam begitu pilih seperlunya ;positive
23;makanan nya enak suasana nyaman harga bisa dibilang sama dengan tempat lain restoran ini ada 4 konsep tapi yang paling terkenal menu jepang nya yang enak loh;positive
24;kampung daun adalah tempat makan yang menyatukan konsep alam dan budaya dari daerah setempat walaupun di dalam kompleks perumahan akan tetapi tempat tersebut cukup luas mempunyai mungkin sekitar 20 lebih saung tempat makan dari yang kapasitas sedang hingga besar kualitas makanan enak dan dengan ada nya suara riak air dari air terjun kecil di sana membuat suasana sangat nyaman untuk makan ;positive
25;waktu itu ke sini pesan nasi goreng dan kentang goreng nasi goreng nya semua suka kentang goreng nya enak banget dan presentasi nya bagus keluarga bilang kopi nya enak hal yang sangat baik di sini adalah tempat nya luas dan yang di luar bisa lihat pemandangan dusun bambu tapi pelayanan nya tidak cepat sehingga saya harus bertanya beberapa kali tentang pesanan saya harga nya cukup mahal namun karena makanan nya enak semua jadi terbayarkan tidak perlu pikir dua kali jika mau ke tempat ini lagi ;positive
26;banyak sekali tempat makan sunda yang bertebaran di kota bandung tetapi tidak tahu kenapa saya sangat jatuh hati dengan sebuah warung makan ini ibu imas yang berada di dekat alun alun kota bandung menyuguhkan rumah makan sunda dengan karakter warung nasi zaman dahulu yang di mana kita bisa mengambil semua hidangan di depan kita tanpa harus melalui proses order yang biasa kita jumpai di warung makan ;positive
27;foods menu baru cheeseburger nya oke banget dan chicken wings pizza hut memang selalu juara dirilis mixing green tea yakult perfect satu satunya kekurangan pizza hut adalah pinggiran nya ;positive
28;dusun bambu ini tergolong baru di bandung tempat nya yang dekat banget sama almamater saya membuat saya gampang cari ini tempat pemandangan nya bagus banyak tempat makan yang enak enak beli nya nanti pakai voucher ;positive
